"id" "danceability" "energy" "key" "loudness" "mode" "speechiness" "acousticness" "instrumentalness" "liveness" "valence" "tempo" "duration_ms" "time_signature" "uri" "analysis_url"
"48" "4IlzIqULsKpVz0b0kUbyO1" 0.422 0.29 8 -9.702 1 0.0414 0.67 0 0.109 0.517 155.292 196413 5 "spotify:track:4IlzIqULsKpVz0b0kUbyO1" "https://api.spotify.com/v1/audio-analysis/4IlzIqULsKpVz0b0kUbyO1"
"49" "0u2A867SnSHy7JOmQtNA3x" 0.612 0.886 7 -5.078 1 0.0325 0.0197 2.73e-06 0.0824 0.579 109.025 229648 4 "spotify:track:0u2A867SnSHy7JOmQtNA3x" "https://api.spotify.com/v1/audio-analysis/0u2A867SnSHy7JOmQtNA3x"
"50" "0onslUNmSLDkuYaideYWir" 0.767 0.889 7 -2.988 1 0.0963 0.00611 0 0.402 0.843 119.93 195145 4 "spotify:track:0onslUNmSLDkuYaideYWir" "https://api.spotify.com/v1/audio-analysis/0onslUNmSLDkuYaideYWir"
"51" "424LI1OXfUx89pw0LQmX0T" 0.516 0.877 11 -4.205 1 0.0394 0.00115 7.98e-06 0.161 0.694 171.073 216187 4 "spotify:track:424LI1OXfUx89pw0LQmX0T" "https://api.spotify.com/v1/audio-analysis/424LI1OXfUx89pw0LQmX0T"
"52" "3QXHdgCROMMd424pI3I534" 0.811 0.346 10 -6.55 1 0.0743 0.198 0 0.124 0.185 137.978 180926 4 "spotify:track:3QXHdgCROMMd424pI3I534" "https://api.spotify.com/v1/audio-analysis/3QXHdgCROMMd424pI3I534"
"53" "15SbvdiJ46LESbIjVYg8z7" 0.701 0.722 6 -6.025 0 0.0486 0.178 0.000494 0.177 0.206 112.021 210000 4 "spotify:track:15SbvdiJ46LESbIjVYg8z7" "https://api.spotify.com/v1/audio-analysis/15SbvdiJ46LESbIjVYg8z7"
"54" "7v5fIXqgB0nd5KgekRDe4M" 0.848 0.809 7 -2.075 1 0.0646 0.0973 0.0024 0.346 0.912 128.08 208333 4 "spotify:track:7v5fIXqgB0nd5KgekRDe4M" "https://api.spotify.com/v1/audio-analysis/7v5fIXqgB0nd5KgekRDe4M"
"55" "5jb2i9dCYXsEimxZuj172A" 0.18 0.755 5 -9.29 1 0.059 0.271 0.000269 0.121 0.0896 187.228 262414 3 "spotify:track:5jb2i9dCYXsEimxZuj172A" "https://api.spotify.com/v1/audio-analysis/5jb2i9dCYXsEimxZuj172A"
"56" "5uaFDJeJJv4qj1fxyFrGMC" 0.641 0.506 5 -11.541 0 0.0358 0.0129 0 0.23 0.32 112.025 229286 4 "spotify:track:5uaFDJeJJv4qj1fxyFrGMC" "https://api.spotify.com/v1/audio-analysis/5uaFDJeJJv4qj1fxyFrGMC"
"57" "6Y2DPBV2uBBfqQOPZnW3LD" 0.589 0.665 2 -6.752 0 0.0453 0.158 0 0.0971 0.462 126.877 189414 4 "spotify:track:6Y2DPBV2uBBfqQOPZnW3LD" "https://api.spotify.com/v1/audio-analysis/6Y2DPBV2uBBfqQOPZnW3LD"
"58" "5CO7hVAgCxBabtAg1xsKQU" 0.492 0.655 0 -8.401 1 0.0454 0.32 0.0433 0.344 0.211 155.945 224653 4 "spotify:track:5CO7hVAgCxBabtAg1xsKQU" "https://api.spotify.com/v1/audio-analysis/5CO7hVAgCxBabtAg1xsKQU"
"59" "5aUK49DQI939Klu05lHLJL" 0.897 0.602 7 -6.534 1 0.0506 0.139 0.00995 0.118 0.856 106.029 208747 4 "spotify:track:5aUK49DQI939Klu05lHLJL" "https://api.spotify.com/v1/audio-analysis/5aUK49DQI939Klu05lHLJL"
"60" "3FxIwO8YdsEgZqsjhZLPch" 0.613 0.817 8 -7.486 1 0.0734 0.0238 0.0283 0.0945 0.0373 174.08 203045 4 "spotify:track:3FxIwO8YdsEgZqsjhZLPch" "https://api.spotify.com/v1/audio-analysis/3FxIwO8YdsEgZqsjhZLPch"
"61" "1quOpvVxpbFGpQAgCVYZ57" 0.79 0.83 0 -3.082 0 0.0897 0.237 5.06e-05 0.112 0.407 133.999 217231 4 "spotify:track:1quOpvVxpbFGpQAgCVYZ57" "https://api.spotify.com/v1/audio-analysis/1quOpvVxpbFGpQAgCVYZ57"
